old_name	new_name	upstream_repo_id	id_source
aya-vision-8b	aya-vision-8b-4bit	mlx-community/aya-vision-8b-4bit	readme-heading
baichuan-m1-14b-4bit	baichuan-m1-14b-instruct-4bit	mlx-community/Baichuan-M1-14B-Instruct-4bit	readme-heading
bunny-llama3-8b-4bit	bunny-llama-3-8b-v-4bit	mlx-community/Bunny-Llama-3-8B-V-4bit	readme-heading
command-r7b-4bit	c4ai-command-r7b-12-2024-4bit	mlx-community/c4ai-command-r7b-12-2024-4bit	readme-heading
deepseek-coder-1.3b-4bit	deepseek-coder-1.3b-instruct-mlx	mlx-community/deepseek-coder-1.3b-instruct-mlx	readme-heading
deepseek-r1-distill-7b-4bit	deepseek-r1-distill-qwen-7b-4bit	mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit	readme-heading
deepseek-v2-lite-4bit	deepseek-v2-lite-chat-4bit-mlx	mlx-community/DeepSeek-V2-Lite-Chat-4bit-mlx	readme-heading
deepseek-v3-4bit	deepseek-v3-0324-4bit	mlx-community/DeepSeek-v3-0324-4bit	readme-heading
ernie-4.5-0.3b-4bit	ernie-4.5-0.3b-pt-4bit	mlx-community/ERNIE-4.5-0.3B-PT-4bit	readme-heading
exaone4-1.2b-4bit	exaone-4.0-1.2b-4bit	mlx-community/exaone-4.0-1.2b-4bit	readme-heading
falcon-mamba-7b-4bit	falcon-mamba-7b-4bit-instruct	mlx-community/falcon-mamba-7b-4bit-instruct	readme-heading
gemma-2b-4bit	gemma-1.1-2b-it-4bit	mlx-community/gemma-1.1-2b-it-4bit	readme-heading
gemma2-2b-4bit	gemma-2-2b-it-4bit	mlx-community/gemma-2-2b-it-4bit	readme-heading
gemma3-1b-4bit	gemma-3-1b-it-4bit	mlx-community/gemma-3-1b-it-4bit	readme-heading
gemma3-4b-4bit	gemma-3-4b-it-4bit	mlx-community/gemma-3-4b-it-4bit	readme-heading
