local_name	upstream_id_from_readme
baichuan-m1-14b-4bit	baichuan-inc/Baichuan-M1-14B-Instruct
deepseek-coder-1.3b-4bit	mlx-community/deepseek-coder-1.3b-instruct-mlx
falcon-mamba-7b-4bit	tiiuae/falcon-mamba-7b-instruct
gemma-2b-4bit	mlx-community/gemma-1.1-2b-it-4bit
gemma2-2b-4bit	mlx-community/gemma-2-2b-it-4bit
gemma3-1b-4bit	google/gemma-3-1b-it
gemma3n-e2b-4bit	google/gemma-3n-E4B-it
hunyuan-1.8b-4bit	tencent/Hunyuan-1.8B-Instruct
internlm2-7b-4bit	mlx-community/internlm2_5-7b-chat-4bit
internlm3-8b-4bit	internlm/internlm3-8b-instruct
llama-3.1-8b-bf16	meta-llama/Llama-3.1-8B-Instruct
llava-1.5-7b-4bit	liuhaotian/LLaVA-Instruct-150K
mixtral-8x7b-4bit	mlx-community/Mixtral-8x7B-Instruct-v0.1-4bit
olmo2-7b-4bit	allenai/OLMo-2-1124-7B-Instruct
qwen2-vl-2b-4bit	mlx-community/Qwen2-VL-2B-Instruct-4bit
qwen3-vl-2b-4bit	mlx-community/Qwen3-VL-2B-Instruct-4bit
qwen3-vl-30b-a3b-4bit	mlx-community/Qwen3-VL-30B-A3B-Instruct-4bit
qwen3-vl-32b-4bit	mlx-community/Qwen3-VL-32B-Instruct-4bit
smollm-135m-4bit	mlx-community/SmolLM-135M-Instruct-4bit
stablelm-1.6b-4bit	HuggingFaceH4/ultrachat_200k
