local_name	precision	size_gb	staged_at
afm-4.5b	bfloat16	8.6	models/mlx/_m1_only/afm-4.5b
bge-small-en-v1.5	float32	0.1	models/mlx/_m1_only/bge-small-en-v1.5
dbrx-instruct-4bit	4bit	69.8	models/mlx/_m1_only/dbrx-instruct-4bit
falcon-ocr	float32	1.0	models/mlx/_m1_only/falcon-ocr
florence-2-base-ft-4bit	4bit	0.2	models/mlx/_m1_only/florence-2-base-ft-4bit
florence-2-large-ft-4bit	4bit	0.5	models/mlx/_m1_only/florence-2-large-ft-4bit
gpt2	unknown	5.2	models/mlx/_m1_only/gpt2
gpt_bigcode-santacoder	unknown	4.2	models/mlx/_m1_only/gpt_bigcode-santacoder
helium-1-preview-2b-4bit	4bit	1.1	models/mlx/_m1_only/helium-1-preview-2b-4bit
iquest-coder-v1-7b-instruct-8bit	8bit	7.5	models/mlx/_m1_only/iquest-coder-v1-7b-instruct-8bit
jina-vlm-mlx	4bit	2.0	models/mlx/_m1_only/jina-vlm-mlx
klear-46b-a2.5b-instruct-4bit	4bit	24.2	models/mlx/_m1_only/klear-46b-a2.5b-instruct-4bit
klear-46b-src	unknown	86.1	models/mlx/_m1_only/klear-46b-src
ling-lite-1.5	bfloat16	31.3	models/mlx/_m1_only/ling-lite-1.5
llama-3.2-1b-instruct	bfloat16	2.3	models/mlx/_m1_only/llama-3.2-1b-instruct
mellum2-12b-a2.5b-base	unknown	22.6	models/mlx/_m1_only/mellum2-12b-a2.5b-base
openelm-1_1b-instruct-4bit	4bit	0.6	models/mlx/_m1_only/openelm-1_1b-instruct-4bit
phi-3.5-mini-bf16	bfloat16	7.1	models/mlx/_m1_only/phi-3.5-mini-bf16
phi-3.5-mini-instruct-hf	bfloat16	7.1	models/mlx/_m1_only/phi-3.5-mini-instruct-hf
phixtral-4x2_8-4bit	4bit	4.1	models/mlx/_m1_only/phixtral-4x2_8-4bit
phixtral-4x2_8-src	float16	14.6	models/mlx/_m1_only/phixtral-4x2_8-src
pythia-1b	float16	3.9	models/mlx/_m1_only/pythia-1b
qwen2.5-vl-3b-instruct	bfloat16	7.0	models/mlx/_m1_only/qwen2.5-vl-3b-instruct
qwen3.8-27b-hf-bf16	unknown	51.8	models/mlx/_m1_only/qwen3.8-27b-hf-bf16
ring-mini-linear-2.0-4bit	4bit	8.6	models/mlx/_m1_only/ring-mini-linear-2.0-4bit
telechat3-36b-thinking-4bit	4bit	19.0	models/mlx/_m1_only/telechat3-36b-thinking-4bit
trinity-nano-preview-4bit	4bit	3.2	models/mlx/_m1_only/trinity-nano-preview-4bit
whisper-tiny	float32	0.1	models/mlx/_m1_only/whisper-tiny
youtu-llm-2b-4bit	4bit	1.2	models/mlx/_m1_only/youtu-llm-2b-4bit
